nom_hatvp;nom_developpe;accronyme;variation;
CHAMBRE DES METIERS ET DE L'ARTISANAT DE SEINE-MARITIME;CHAMBRE DES METIERS ET DE L'ARTISANAT DE SEINE-MARITIME;CMA 76;CMA Normandie;
ACTION EUROPE SLR;ACTION EUROPE SLR;;;
NOVAXIA INVESTISSEMENT;NOVAXIA INVESTISSEMENT;SCPI Novaxia NEO;;
KNAUF INSULATION;KNAUF INSULATION;;;
ASSOCIATION POUR LA PROMOTION DE LA CONCURRENCE EN ASSURANCE DES EMPRUNTEURS;ASSOCIATION POUR LA PROMOTION DE LA CONCURRENCE EN ASSURANCE DES EMPRUNTEURS;;;
SOC DE VENERIE;SOC DE VENERIE;;;
REVIVAL;REVIVAL;;;
TESSI DOCUMENTS SERVICES;TESSI DOCUMENTS SERVICES;;"Tessi France; Tessi";
SECHE ENVIRONNEMENT;SECHE ENVIRONNEMENT;;Séché Environnement;
SYNDICAT POUR LA VALORISATION ET L'ÉLIMINATION DES DÉCHETS;SYNDICAT POUR LA VALORISATION ET L'ÉLIMINATION DES DÉCHETS;SYVED;;
CENTRE NATIONAL DES PECHES MARITIMES ET ELEVAGES MARINS;CENTRE NATIONAL DES PECHES MARITIMES ET ELEVAGES MARINS;COREPEM;;
SYNAPSE;SYNAPSE;;;
CAJOO TECHNOLOGY;CAJOO TECHNOLOGY;;Cajoo;
F. INICIATIVAS;F. INICIATIVAS;;FI Group;
FEDERATION FRANCAISE DES MASSEURS-KINESITHERAPEUTES-REEDUCATEURS;FEDERATION FRANCAISE DES MASSEURS-KINESITHERAPEUTES-REEDUCATEURS;FFMKR;;
LA MEDNUM;LA MEDNUM;;;
ASSOCIATION DES PROFESSIONNELS DE LA REASSURANCE EN FRANCE;ASSOCIATION DES PROFESSIONNELS DE LA REASSURANCE EN FRANCE;APREF;Association des Professionnels de la Réassurance;
ASSYSTEM;ASSYSTEM;;;
ANIMAL CROSS;ANIMAL CROSS;;;
CONFED NAT ARTISAN DES METIER ET SERVICE;Confédération Nationale de l'Artisanat des Métiers et des Services;CNAMS;;
CEPHEID EUROPE;CEPHEID EUROPE;;Cepheid;
BACKBONE CONSULTING;BACKBONE CONSULTING;;;
SOCIETE DU TAXI ELECTRIQUE PARISIEN;SOCIETE DU TAXI ELECTRIQUE PARISIEN;STEP;;
FEDERATION PROFESSIONNELLE DU DRONE CIVIL U1 2 FPDC;FEDERATION PROFESSIONNELLE DU DRONE CIVIL U1/2;FPDC;Fédération Professionnelle du Drone Civil;
TOMRA COLLECTION FRANCE;TOMRA COLLECTION FRANCE;;TOMRA;
FEDERATION FRANCAISE DES DIABETIQUES;FEDERATION FRANCAISE DES DIABETIQUES;;;
KA;KA;;;
BIOCOOP;BIOCOOP;;;
ASSOCIATION FRANÇAISE DES OPERATEURS D'INFRASTRUCTURES DE TELEPHONIE MOBILE;ASSOCIATION FRANÇAISE DES OPERATEURS D'INFRASTRUCTURES DE TELEPHONIE MOBILE;OFITEM;;
MODERNA FRANCE;MODERNA FRANCE;;Moderna;
AGRICULTURE CELLULAIRE FRANCE;AGRICULTURE CELLULAIRE FRANCE;;;
RAIL4LOGISTICS;RAIL4LOGISTICS;;Rail Logistics Europe;
ARMORICA HOLDINGS;ARMORICA HOLDINGS;;Armoric Holding;
"AMNESTY INTERNATIONAL; GROUPE N° 30; DE RENNES";"AMNESTY INTERNATIONAL; GROUPE N° 30; DE RENNES";Amnesty Rennes;;
HYVIA;HYVIA;;;
GALAPAGOS;GALAPAGOS;;;
SYND NAT DE LA FERMETUR S N F P S A;"Syndicat national de la fermeture; de la protection solaire et des professions associées."; NFPA;;
IRIS;Institut de Relations Internationales et Stratégiques;IRIS;;
BELLET OLIVIER;BELLET OLIVIER;;;
OSEZ POLITIQUE!;association Osez Politique;;;
BACARDI-MARTINI FRANCE;BACARDI-MARTINI FRANCE;;;
FEDERATION NATIONALE DE L'ENSEIGNEMENT PRIVE;FEDERATION NATIONALE DE L'ENSEIGNEMENT PRIVE;FNEP;;
DURALIM;DURALIM;;;
MANGAS GAMBLING ENGINEERING;MANGAS GAMBLING ENGINEERING;;;
CAISSE NAT PREVOY FONCT PUBLIQUE;CAISSE NAT PREVOY FONCT PUBLIQUE;;;
BLUESTORAGE;BLUESTORAGE;;blue-storage;
