nom_hatvp;nom_developpe;accronyme;variation;
CENTRE DE VALORISATION DES ACTEURS DE LA MEDIATION;CENTRE DE VALORISATION DES ACTEURS DE LA MEDIATION;;;
FEDERATION NATIONALE DES ACTIVITES DE LA DEPOLLUTION ET DE L'ENVIRONNEMENT;FEDERATION NATIONALE DES ACTIVITES DE LA DEPOLLUTION ET DE L'ENVIRONNEMENT;FNADE;;
ALIAPUR;ALIAPUR;;;
JANSSEN CILAG;JANSSEN CILAG;;;
CENTRE DEPARTEMENTAL DES JEUNES AGRICULTEURS DE HAUTE-GARONNE;CENTRE DEPARTEMENTAL DES JEUNES AGRICULTEURS DE HAUTE-GARONNE;CDJA HAUTE-GARONNE 31;;
SOCIETE ALMA SA;SOCIETE ALMA SA;;;
CHAMBRE SYNDICALE DES GROUPEMENTS & ENSEIGNES DE PHARMACIES;CHAMBRE SYNDICALE DES GROUPEMENTS & ENSEIGNES DE PHARMACIES;;;
DIGITAL MEDICAL SUPPLY FRANCE;DIGITAL MEDICAL SUPPLY FRANCE;;;
KOZ;KOZ;;;
FÉDÉRATION NATIONALE ENTREPRENEURS DES TERRITOIRES;FÉDÉRATION NATIONALE ENTREPRENEURS DES TERRITOIRES;FNEDT;;
CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;CPME;;
JEUNESSE AU PLEIN AIR;JEUNESSE AU PLEIN AIR;;;
COMITE PARALYMPIQUE ET SPORTIF FRANCAIS (C.P.S.F.);COMITE PARALYMPIQUE ET SPORTIF FRANCAIS (C.P.S.F.);;;
PHYTEIS;PHYTEIS;;;
CONSEIL REGIONAL DE L ORDRE DES ARCHITECTES DES HAUTS DE FRANCE;CONSEIL REGIONAL DE L ORDRE DES ARCHITECTES DES HAUTS DE FRANCE;;;
ALPIQ ENERGIE FRANCE SAS;ALPIQ ENERGIE FRANCE SAS;;;
KINGFISHER FRANCE;KINGFISHER FRANCE;;;
STRYKER FRANCE SA;STRYKER FRANCE SA;;;
FED NAT AGRICULT MULTIPLICATEUR SEMENCES;FEDeration NATionale AGRICULTeur MULTIPLICATEUR SEMENCES;;;
DELIVEROO FRANCE SAS;DELIVEROO FRANCE SAS;;;
UNION DES GROUPEMENTS D'ACHATS PUBLICS;UNION DES GROUPEMENTS D'ACHATS PUBLICS;;;
GROUPEMENT INTERPROFESSIONNEL POUR LA VALORISATION DE LA POMME DE TERRE;GROUPEMENT INTERPROFESSIONNEL POUR LA VALORISATION DE LA POMME DE TERRE;GIPT;;
SYNDICAT DU THÉ ET DES PLANTES À INFUSION;SYNDICAT DU THÉ ET DES PLANTES À INFUSION;STEPI;;
FÉDÉRATION RÉGIONALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DE PROVENCE-ALPES-CÔTE-D'AZUR;FÉDÉRATION RÉGIONALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DE PROVENCE-ALPES-CÔTE-D'AZUR;FRSEA PACA;;
SNC ALTAREA MANAGEMENT;SNC ALTAREA MANAGEMENT;;;
WILLEMS FREDERIC;WILLEMS FREDERIC;;;
BOEHRINGER INGELHEIM ANIMAL HEALTH FRANCE;BOEHRINGER INGELHEIM ANIMAL HEALTH FRANCE;;;
GUERBET;GUERBET;;;
DANONE PRODUITS FRAIS FRANCE;DANONE PRODUITS FRAIS FRANCE;;;
LA CONVENTION NATIONALE DES ASSOCIATIONS DE PROTECTION DE L'ENFANT;LA CONVENTION NATIONALE DES ASSOCIATIONS DE PROTECTION DE L'ENFANT;CNAPE;;
ESSO FRANCE;ESSO FRANCE;;;
GROUPEMENT SYNDICAT SYNTEC ETUDE CONSEIL;GROUPEMENT SYNDICAT SYNTEC ETUDE CONSEIL;;Syntec Conseil;
SWISSLIFE FRANCE;SWISSLIFE FRANCE;;;
SYNDICAT NATIONAL DES ENTREPRENEURS DE LA FILIERE;SYNDICAT NATIONAL DES ENTREPRENEURS DE LA FILIERE;;;
FÉDÉRATION PATRONALE DU BÂTIMENT ET DES TRAVAUX PUBLICS DE L'EURE;FÉDÉRATION PATRONALE DU BÂTIMENT ET DES TRAVAUX PUBLICS DE L'EURE;;;
AMPELUSIUM;AMPELUSIUM;;;
FEDERATION FRANCAISE DES SPIRITUEUX;FEDERATION FRANCAISE DES SPIRITUEUX;FFS;;
FÉDÉRATION DÉPARTEMENTALE DES SYNDICATS D’EXPLOITANTS AGRICOLES D’ILE-DE-FRANCE;FÉDÉRATION DÉPARTEMENTALE DES SYNDICATS D’EXPLOITANTS AGRICOLES D’ILE-DE-FRANCE;FDSEA IDF;;
ARTE FRANCE;ARTE FRANCE;;;
EUTELSAT S.A.;EUTELSAT S.A.;;;
FÉDÉRATION NATIONALE DES TRAVAUX PUBLICS;FÉDÉRATION NATIONALE DES TRAVAUX PUBLICS;FNTP;;
EG  LABO - LABORATOIRES EUROGENERIC;EG  LABO - LABORATOIRES EUROGENERIC;;;
INTERPROFESSION NATIONALE PORCINE;INTERPROFESSION NATIONALE PORCINE;INAPORC;;
ENTREPRENEURS DES TERRITOIRES PAYS;ENTREPRENEURS DES TERRITOIRES PAYS;;;
FEDERATION DES ASCENSEURS;FEDERATION DES ASCENSEURS;;;
COMMUNICATION & INSTITUTIONS;COMMUNICATION & INSTITUTIONS;;;
SYNDICAT DES INDUSTRIES FABRICANTS DE PÂTES ALIMENTAIRES DE FRANCE;SYNDICAT DES INDUSTRIES FABRICANTS DE PÂTES ALIMENTAIRES DE FRANCE;SIFPAF;;
BOUYGUES;BOUYGUES;;;
CARREFOUR;CARREFOUR;;;
CCI BORDEAUX GIRONDE;CCI BORDEAUX GIRONDE;CCIT 33;;
MARS PF FRANCE;MARS PF FRANCE;;;
CDISCOUNT;CDISCOUNT;;;
ORANO MINING;ORANO MINING;;;
COMFLUENCE;COMFLUENCE;;;
ADENTAL GROUPE;ADENTAL GROUPE;;;
COVEA;COVEA;;;
ADEVINTA FRANCE;ADEVINTA FRANCE;;;
CAISSE RETRAITE PERSONNEL NAVIGANT;CAISSE RETRAITE PERSONNEL NAVIGANT;;;
AVEC MODERATION;AVEC MODERATION;;;
GROUPE CANAL+ SA;GROUPE CANAL+ SA;;;
DF CONSULTANT;DF CONSULTANT;;;
UNION REGIONALE DES ORGANISMES HLM DU LANGUEDOC ROUSSILLON;UNION REGIONALE DES ORGANISMES HLM DU LANGUEDOC ROUSSILLON;;;
MORET-BAILLY JOEL ANDRE;MORET-BAILLY JOEL ANDRE;;;
BORALEX;BORALEX;;;
FORWARD PARTNERS;FORWARD PARTNERS;;;
MUTUALITE FRANCAISE DE GUYANE;MUTUALITE FRANCAISE DE GUYANE;;;
FEDERATION DES INDUSTRIES AVICOLES;FEDERATION DES INDUSTRIES AVICOLES;FIA;;
UNION NATIONALE DES MAISONS FAMILIALES RURALES D'EDUCATION ET D'ORIENTATION;UNION NATIONALE DES MAISONS FAMILIALES RURALES D'EDUCATION ET D'ORIENTATION;UNMFREO;;
TAKEDA FRANCE SAS;TAKEDA FRANCE SAS;;;
COMITE NATIONAL OLYMPIQUE ET SPORTIF FRANCAIS;COMITE NATIONAL OLYMPIQUE ET SPORTIF FRANCAIS;;;
KASPERSKY LAB FRANCE;KASPERSKY LAB FRANCE;;;
FEDERATION NATIONALE DES OFFICES PUBLICS DE L'HABITAT;FEDERATION NATIONALE DES OFFICES PUBLICS DE L'HABITAT;FOPH;;
UNION NATIONALE DES ORGANISMES FAISANT APPEL AUX GENEROSITES;UNION NATIONALE DES ORGANISMES FAISANT APPEL AUX GENEROSITES;;;
JEUNES AGRICULTEURS 67;JEUNES AGRICULTEURS 67;;;
UNION DE LA BIJOUTERIE HORLOGERIE;UNION DE LA BIJOUTERIE HORLOGERIE;UBH;;
FEDERATION REGIONALE DES SYNDICATS D'EXPLOITANTS AGRICOLES AUVERGNE RHONE-ALPES;FEDERATION REGIONALE DES SYNDICATS D'EXPLOITANTS AGRICOLES AUVERGNE RHONE-ALPES;FNSEA AUVERGNE RHONE ALPES;;
UCB PHARMA SA;UCB PHARMA SA;;;
JEAN-JOEL GOVERNATORI AVOCAT;JEAN-JOEL GOVERNATORI AVOCAT;;;
KEOLIS;KEOLIS;;;
SYNDICAT NATIONAL DES PRODUCTEURS D'ALCOOL AGRICOLE;SYNDICAT NATIONAL DES PRODUCTEURS D'ALCOOL AGRICOLE;SNPAA;;
UPRIGAZ;UPRIGAZ;;;
JEUNES AGRICULTEURS GRAND EST;JEUNES AGRICULTEURS GRAND EST;;;
LE CERCLE DE L'INDUSTRIE;LE CERCLE DE L'INDUSTRIE;;;
"FÉDÉRATION DES INDUSTRIES DU CINÉMA; DE L'AUDIOVISUEL ET DU MULTIMÉDIA";"FÉDÉRATION DES INDUSTRIES DU CINÉMA; DE L'AUDIOVISUEL ET DU MULTIMÉDIA";FICAM;;
COMITÉ DES CONSTRUCTEURS FRANÇAIS D'AUTOMOBILES;COMITÉ DES CONSTRUCTEURS FRANÇAIS D'AUTOMOBILES;CCFA;;
ASSOCIATION L214;ASSOCIATION L214;;;
UNION FRANÇAISE DES MÉTIERS DE L'ÉVÉNEMENT;UNION FRANÇAISE DES MÉTIERS DE L'ÉVÉNEMENT;;;
UNION NATIONALE DES PRESTATAIRES DE DISPOSITIFS MEDICAUX;UNION NATIONALE DES PRESTATAIRES DE DISPOSITIFS MEDICAUX;UNPDM;;
SOC CIVILE DES AUTEURS MULTIMEDIAS;SOC CIVILE DES AUTEURS MULTIMEDIAS;;;
COHN&WOLFE;COHN&WOLFE;;;
FRANCE LIBERTES - FONDATION DANIELLE MITTERRAND;FRANCE LIBERTES - FONDATION DANIELLE MITTERRAND;;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE DE REGION NOUVELLE-AQUITAINE;CHAMBRE DE COMMERCE ET D'INDUSTRIE DE REGION NOUVELLE-AQUITAINE;CCI NOUVELLE-AQUITAINE;;
GROUPEMENT DES INDUSTRIES DE L'EQUIPEMENT ELECTRIQUE DU CONTRÔLE COMMANDE ET DES SERVICES ASSOCIES;GROUPEMENT DES INDUSTRIES DE L'EQUIPEMENT ELECTRIQUE DU CONTRÔLE COMMANDE ET DES SERVICES ASSOCIES;GIMELEC;;
EURO DISNEY ASSOCIES SCA;EURO DISNEY ASSOCIES SCA;;;
GROUPEMENT SYNDICAL DES ORGANISMES DU TOURISME FAMILIAL;GROUPEMENT SYNDICAL DES ORGANISMES DU TOURISME FAMILIAL;GSOTF;;
ARIANEGROUP;ARIANEGROUP;;;
NOVO NORDISK;NOVO NORDISK;;;
GE RENEWABLE MANAGEMENT;GE RENEWABLE MANAGEMENT;;;
SIRIUS-CUSTOMIZER;SIRIUS-CUSTOMIZER;;;
FEDERATION NATIONALE DES BANQUES POPULAIRES;FEDERATION NATIONALE DES BANQUES POPULAIRES;;;
COMMISSARIAT A L' ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES;COMMISSARIAT A L' ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES;CEA;;
EQUILIBRE DES ENERGIES  - POUR L'EQUILIBRE DES ENERGIES-;EQUILIBRE DES ENERGIES  - POUR L'EQUILIBRE DES ENERGIES-;;;
ALTERNATIVE TELECOM;ALTERNATIVE TELECOM;;;
LIGUE DE FOOTBALL PROFESSIONNEL;LIGUE DE FOOTBALL PROFESSIONNEL;;;
SALESFORCE.COM FRANCE;SALESFORCE.COM FRANCE;;;
SYNDICAT PROFESSIONNEL DU CHANVRE;SYNDICAT PROFESSIONNEL DU CHANVRE;;;
FEDERATION DE L ARCHE EN FRANCE;FEDERATION DE L ARCHE EN FRANCE;;;
MOUVEMENT DES ENTREPRISES DE TAILLE INTERMEDIAIRE LES ENTREPRISES DE LONG TERME;MOUVEMENT DES ENTREPRISES DE TAILLE INTERMEDIAIRE LES ENTREPRISES DE LONG TERME;;;
TEKSIAL;TEKSIAL;;;
APCO WORLDWIDE;APCO WORLDWIDE;;;
REMADEGROUP;REMADEGROUP;;;
MUTUELLE DES CHEMINOTS DE LYON ET REGION;MUTUELLE DES CHEMINOTS DE LYON ET REGION;;;
CHAMBRE DE COMMERCE ET D INDUSTRIE DE SAONE ET LOIRE;CHAMBRE DE COMMERCE ET D INDUSTRIE DE SAONE ET LOIRE;;;
LAMOTHE BRUNO PIERRE;LAMOTHE BRUNO PIERRE;;;
ASS INTERNET ADVERTISING BUREAU;ASSociation INTERNET ADVERTISING BUREAU;;;
FEDERATION DES INDUSTRIES ELECTRIQUES ELECTRONIQUES ET DE COMMUNICATION;FEDERATION DES INDUSTRIES ELECTRIQUES ELECTRONIQUES ET DE COMMUNICATION;FIEEC;;
COMITÉ NATIONAL INTERPROFESSIONNEL DE LA POMME DE TERRE;COMITÉ NATIONAL INTERPROFESSIONNEL DE LA POMME DE TERRE;CNIPT;;
CONFEDERATION DES SYNDICATS MEDICAUX FRANCAIS;CONFEDERATION DES SYNDICATS MEDICAUX FRANCAIS;CSMF;;
FEDERATION DES SYNDICATS D'EXPLOITANTS AGRICOLES DU FINISTERE 29;FEDERATION DES SYNDICATS D'EXPLOITANTS AGRICOLES DU FINISTERE 29;FDSEA FINISTERE 29;;
ASSOCIATION POUR LES ACTIONS DE LA FILIERE COMMUNICATION;ASSOCIATION POUR LES ACTIONS DE LA FILIERE COMMUNICATION;;;
FEDERATION FRANCAISE DU BATIMENT DE L'AUBE 10;FEDERATION FRANCAISE DU BATIMENT DE L'AUBE 10;FFB DE L'AUBE 10;;
COMPAGNIE PLASTIC OMNIUM;COMPAGNIE PLASTIC OMNIUM;;;
NEW CARD;NEW CARD;;;
LES BRASSEURS INDEPENDANTS;LES BRASSEURS INDEPENDANTS;;;
UNION DES METIERS ET DES INDUSTRIES DE L'HOTELLERIE;UNION DES METIERS ET DES INDUSTRIES DE L'HOTELLERIE;UMIH;;
BIOGARAN;BIOGARAN;;;
SYNDICAT NATIONAL DE LA RESTAURATION THÉMATIQUE ET COMMERCIALE;SYNDICAT NATIONAL DE LA RESTAURATION THÉMATIQUE ET COMMERCIALE;SNRTC;;
ASSOCIATION FRANCAISE POUR LA PROMOTION DES POMPES A CHALEUR;ASSOCIATION FRANCAISE POUR LA PROMOTION DES POMPES A CHALEUR;;;
THALES;THALES;;;
CENTRE DEPARTEMENTALE JEUNES AGRICULTEURS HAUTES ALPES;CENTRE DEPARTEMENTALE JEUNES AGRICULTEURS HAUTES ALPES;CJA HAUTES ALPES 05;;
CABINET SCHELL;CABINET SCHELL;;;
CONSTRUIRE EN CHANVRE;CONSTRUIRE EN CHANVRE;;;
CHAMBRE AGRICULTURE COMMERCE INDUSTRIE METIERS ARTISANAT;CHAMBRE AGRICULTURE COMMERCE INDUSTRIE METIERS ARTISANAT;;;
ASSOCIATION FRANÇAISE DES GESTIONNAIRES D'INFRASTRUCTURES FERROVIAIRES INDÉPENDANTS;ASSOCIATION FRANÇAISE DES GESTIONNAIRES D'INFRASTRUCTURES FERROVIAIRES INDÉPENDANTS;AGIFI;;
"ALINEA; AVOCATS A LA COUR";"ALINEA; AVOCATS A LA COUR";;;
GEMME;GEMME;;;
ALLIAGES ET TERRITOIRES;ALLIAGES ET TERRITOIRES;;;
NOMADIC LABS;NOMADIC LABS;;;
AVISA PARTNERS;AVISA PARTNERS;;;
FEDERATION DES ACTEURS DE LA SOLIDARITE;FEDERATION DES ACTEURS DE LA SOLIDARITE;FNARS;;
CHAMBRE DE METIERS ET DE L'ARTISANAT DE LA SEINE ET MARNE 77;CHAMBRE DE METIERS ET DE L'ARTISANAT DE LA SEINE ET MARNE 77;CMA SEINE ET MARNE 77;;
NAKAMA;NAKAMA;;;
CONVICTIO LEGAL;CONVICTIO LEGAL;;;
INSTITUTIONS ET STRATEGIES;INSTITUTIONS ET STRATEGIES;;;
UNION NATIONALE DES ECONOMISTES DE LA CONSTRUCTION;UNION NATIONALE DES ECONOMISTES DE LA CONSTRUCTION;UNTEC;;
ASSOCIATION NATIONALE DES INDUSTRIES ALIMENTAIRES;ASSOCIATION NATIONALE DES INDUSTRIES ALIMENTAIRES;ANIA;;
ASSOCIATION POUR LE DROIT A L'INITATIVE ECONOMIQUE;ASSOCIATION POUR LE DROIT A L'INITATIVE ECONOMIQUE;ADIE;;
FEDER NAT ASS DIRS ETS SCES PERSON AGEES;FEDER NAT ASS DIRS ETS SCES PERSON AGEES;;;
SAFRAN;SAFRAN;;;
JULIETTE DE LA NOUE CONSEIL;JULIETTE DE LA NOUE CONSEIL;;;
INTRUM CORPORATE;INTRUM CORPORATE;;;
CONSEIL NATIONAL DE L ORDRE DES PHARMACIENS;CONSEIL NATIONAL DE L ORDRE DES PHARMACIENS;;;
FEDERATION NATIONALE DE L'IMMOBILIER;FEDERATION NATIONALE DE L'IMMOBILIER;;;
CONSEIL CENTRAL DES PHARMACIENS BIOLOGISTES MEDICAUX DE L'ORDRE NATIONAL DES PHARMACIENS;CONSEIL CENTRAL DES PHARMACIENS BIOLOGISTES MEDICAUX DE L'ORDRE NATIONAL DES PHARMACIENS;;;
CARMILA;CARMILA;;;
GROUPEMENT REGIONAL DES ACTEURS FRANCILIENS D INSERTION PAR L ECONOMIE;GROUPEMENT REGIONAL DES ACTEURS FRANCILIENS D INSERTION PAR L ECONOMIE;;;
UNIBAIL MANAGEMENT;UNIBAIL MANAGEMENT;;;
AMBO CONSEIL;AMBO CONSEIL;;;
1108 RP;1108 RP;;;
FEDERATION NATIONALE DES PODOLOGUES;FEDERATION NATIONALE DES PODOLOGUES;;;
SYNDICAT NATIONAL DES SCENES PUBLIQUES;SYNDICAT NATIONAL DES SCENES PUBLIQUES;;;
CONFEDERATION NATIONALE DE LA MUTUALITE COOPERATIVE ET CREDIT AGRICOLE;CONFEDERATION NATIONALE DE LA MUTUALITE COOPERATIVE ET CREDIT AGRICOLE;CNMCCA;;
ALUMINIUM FRANCE;ALUMINIUM FRANCE;;;
CERCLE DE REFLEXION ET DE PROPOSITION D'ACTIONS SUR LA PSYCHIATRIE;CERCLE DE REFLEXION ET DE PROPOSITION D'ACTIONS SUR LA PSYCHIATRIE;;;
PLEAD;PLEAD;;;
UNION DES JEUNES AGRICULTEURS 59-62;UNION DES JEUNES AGRICULTEURS 59-62;;;
FEDALIM;FEDALIM;;;
ASSOCIATION DES AGRICULTEURS METHANISEURS DE FRANCE;ASSOCIATION DES AGRICULTEURS METHANISEURS DE FRANCE;;;
AIRBUS SAS;AIRBUS SAS;;;
GAZELENERGIE GENERATION;GAZELENERGIE GENERATION;SNET;;
MICHELON QUENTIN JULES;MICHELON QUENTIN JULES;;;
COCA COLA SERVICES FRANCE;COCA COLA SERVICES FRANCE;;;
THERMADOR GROUPE;THERMADOR GROUPE;;;
COMITE NATIONAL CONTRE TABAGISME;COMITE NATIONAL CONTRE TABAGISME;;;
UNION NATIONALE DE LA POISSONNERIE FRANCAISE U.N.P.F.;UNION NATIONALE DE LA POISSONNERIE FRANCAISE U.N.P.F.;UNPF;;
AUCHAN RETAIL FRANCE;AUCHAN RETAIL FRANCE;;;
FEDERATION DES ENTREPRISES DE BOULANGERIE ET PATISSERIE FRANCAISE;FEDERATION DES ENTREPRISES DE BOULANGERIE ET PATISSERIE FRANCAISE;;;
EMMA GATEAU CONSULTING;EMMA GATEAU CONSULTING;;;
FEDERATION DU BATIMENT ET DES TRAVAUX PUBLICS DU HAUT RHIN;FEDERATION DU BATIMENT ET DES TRAVAUX PUBLICS DU HAUT RHIN;FFB 68;;
FEDERATION REGIONALE DES SYNDICATS D'EXPLOITANTS AGRICOLES BOURGOGNE FRANCHE COMTE;FEDERATION REGIONALE DES SYNDICATS D'EXPLOITANTS AGRICOLES BOURGOGNE FRANCHE COMTE;FRSEA BOURGOGNE FRANCHE COMTE;;
ERICSSON FRANCE;ERICSSON FRANCE;;;
UNION DES INDUSTRIELS ET CONSTRUCTEURS BOIS;UNION DES INDUSTRIELS ET CONSTRUCTEURS BOIS;;;
RHODIA OPERATIONS;RHODIA OPERATIONS;;;
ASSOCIATION DES ORGANISMES HLM DE LA REGION ALSACE;ASSOCIATION DES ORGANISMES HLM DE LA REGION ALSACE;;;
FEDERAT NAT CTRE LUTTE CONTRE LE CANCER;FEDERAT NAT CTRE LUTTE CONTRE LE CANCER;;;
UNION FRANCAISE DES OEUVRES LAIQUES D'EDUCATION PHYSIQUE;UNION FRANCAISE DES OEUVRES LAIQUES D'EDUCATION PHYSIQUE;;;
BONNEAU OLIVIER PHILIPPE MICHEL;BONNEAU OLIVIER PHILIPPE MICHEL;;;
FEDERATION DU BATIMENT ET DES TRAVAUX PUBLICS DES VOSGES;FEDERATION DU BATIMENT ET DES TRAVAUX PUBLICS DES VOSGES;FFB VOSGES 88;;
ARKEMA FRANCE;ARKEMA FRANCE;;;
EPOKA;EPOKA;;;
NESTLE FRANCE;NESTLE FRANCE;MNF;;
UNICLIMA;UNICLIMA;;;
CHAMBRE DE METIERS ET DE L'ARTISANAT DE L'ISERE 38;CHAMBRE DE METIERS ET DE L'ARTISANAT DE L'ISERE 38;CMA DE L'ISERE 38;;
NOVARTIS GENE THERAPIES FRANCE S.A.S.;NOVARTIS GENE THERAPIES FRANCE S.A.S.;;;
CAISSE ASSURANCE VIEILLESSE PHARMACIE;CAISSE ASSURANCE VIEILLESSE PHARMACIE;;;
UNION NATIONALE DES ASSOCIATIONS DE TOURISME ET DE PLEIN AIR;UNION NATIONALE DES ASSOCIATIONS DE TOURISME ET DE PLEIN AIR;;;
PLATEFORME DE LA FILIERE AUTOMOBILE;PLATEFORME DE LA FILIERE AUTOMOBILE;;;
SNCF RESEAU;SNCF RESEAU;;;
FEDERATION DEPARTEMENTALE DU BATIMENT ET DES TRAVAUX PUBLICS DES ALPES-MARITIMES;FEDERATION DEPARTEMENTALE DU BATIMENT ET DES TRAVAUX PUBLICS DES ALPES-MARITIMES;BTP ALPES MARITIMES 06;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE JURA;CHAMBRE DE COMMERCE ET D'INDUSTRIE JURA;;;
DENTSU EXPERTISE & CONSULTING;DENTSU EXPERTISE & CONSULTING;;;
P&B PARTNERS CONSEIL;P&B PARTNERS CONSEIL;;;
CPME Morbihan;CPME Morbihan;;;
CONFÉDÉRATION NATIONALE DES CHARCUTIERS-TRAITEURS;CONFÉDÉRATION NATIONALE DES CHARCUTIERS-TRAITEURS;CNCT;;
CONFÉDÉRATION GÉNÉRALE DES PETITES ET MOYENNES ENTREPRISES DE L'OISE;CONFÉDÉRATION GÉNÉRALE DES PETITES ET MOYENNES ENTREPRISES DE L'OISE;CGPME 60;;
MANAGED FUNDS ASSOCIATION;MANAGED FUNDS ASSOCIATION;;;
OPENCLASSROOMS;OPENCLASSROOMS;;;
ASSOCIATION FRANCAISE DU FROID;ASSOCIATION FRANCAISE DU FROID;AFF;;
BOOKING.COM B.V;BOOKING.COM B.V;;;
CHAINE THERMALE DU SOLEIL;CHAINE THERMALE DU SOLEIL;;;
SYNDICAT NATIONAL DES VETERINAIRES EXERCICE LIBERAL;SYNDICAT NATIONAL DES VETERINAIRES EXERCICE LIBERAL;SNVEL;;
VIN ET SOCIETE;VIN ET SOCIETE;;;
FÉDÉRATION DU BÂTIMENT ET DES TRAVAUX PUBLICS DE L'ISÈRE;FÉDÉRATION DU BÂTIMENT ET DES TRAVAUX PUBLICS DE L'ISÈRE;FFB 38;;
GENERAL MILLS FRANCE;GENERAL MILLS FRANCE;;;
SOCIETES DES AUTOROUTES DU NORD ET DE L'EST DE LA FRANCE;SOCIETES DES AUTOROUTES DU NORD ET DE L'EST DE LA FRANCE;;;
FEDERATION NATIONALE DES RESERVISTES OPERATIONNELS ET CITOYENS DE LA GENDARMERIE NATIONALE;FEDERATION NATIONALE DES RESERVISTES OPERATIONNELS ET CITOYENS DE LA GENDARMERIE NATIONALE;ANORGEND;;
COMPAGNIE REGIONALE DES COMMISSAIRES AUX COMPTES DE LYON-RIOM;COMPAGNIE REGIONALE DES COMMISSAIRES AUX COMPTES DE LYON-RIOM;CRCC LYON-RIOM;;
CONFEDERATION NATIONALE DES BOULANGERS PATISSIERS;CONFEDERATION NATIONALE DES BOULANGERS PATISSIERS;;;
INTERVET;INTERVET;;;
SOCIÉTÉ D'ENCOURAGEMENT À L'ÉLEVAGE DU CHEVAL FRANÇAIS;SOCIÉTÉ D'ENCOURAGEMENT À L'ÉLEVAGE DU CHEVAL FRANÇAIS;SECF;;
SURICATE;SURICATE;;;
MEDEF PARIS;MEDEF PARIS;;;
AXA FRANCE VIE;AXA FRANCE VIE;;;
RWE RENOUVELABLES FRANCE;RWE RENOUVELABLES FRANCE;;;
TIKEHAU CAPITAL;TIKEHAU CAPITAL;;;
GEODIS;GEODIS;;;
SNAP GROUP SAS;SNAP GROUP SAS;;;
SOCIETE DE LIVRAISON DES OUVRAGES OLYMPIQUES;SOCIETE DE LIVRAISON DES OUVRAGES OLYMPIQUES;;;
UNION DES FABRICANTS POUR LA LUTTE CONTRE LA CONTREFAÇON;UNION DES FABRICANTS POUR LA LUTTE CONTRE LA CONTREFAÇON;UNIFAB;;
AIRBNB FRANCE;AIRBNB FRANCE;;;
BASF FRANCE SAS;BASF FRANCE SAS;;;
VAL TOURAINE HABITAT;VAL TOURAINE HABITAT;;;
ARCTURUS RHONE MEDITERRANEE;ARCTURUS RHONE MEDITERRANEE;;;
FEDERATION FRANCAISE DU BATIMENT ET DES TRAVAUX PUBLICS ROUEN DIEPPE;FEDERATION FRANCAISE DU BATIMENT ET DES TRAVAUX PUBLICS ROUEN DIEPPE;FFB ROUEN DIEPPE 76;;
UNION DES SYNDICATS ARGICOLES DE L'AISNE;UNION DES SYNDICATS ARGICOLES DE L'AISNE;USAA 02;;
CHAMBRE COMMERCE INDUSTRIE DES ARDENNES;CHAMBRE COMMERCE INDUSTRIE DES ARDENNES;CCI ARDENNES 08;;
ASSOCIATION SHERPA;ASSOCIATION SHERPA;;;
MATIASAT SYSTEM GROUP;MATIASAT SYSTEM GROUP;;;
MUTUALITE FRANCAISE DE GUADELOUPE;MUTUALITE FRANCAISE DE GUADELOUPE;;;
Hume Brophy Communication;Hume Brophy Communication;;;
POITOU FREDERIC CHRISTIAN JEAN;POITOU FREDERIC CHRISTIAN JEAN;;;
TERRE D'ABEILLES;TERRE D'ABEILLES;;;
FÉDÉRATION DÉPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DE SAÔNE-ET-LOIRE;FÉDÉRATION DÉPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DE SAÔNE-ET-LOIRE;FDSEA 71;;
U2P NORMANDIE;U2P NORMANDIE;U2P DE NORMANDIE;;
STMICROELECTRONICS SA;STMICROELECTRONICS SA;;;
CARREFOUR NATIONAL DE L'ACTION EDUCATIVE EN MILEU OUVERT;CARREFOUR NATIONAL DE L'ACTION EDUCATIVE EN MILEU OUVERT;;;
ASSOCIATION NATIONALE DES LIGUES DE SPORT PROFESSIONNEL;ASSOCIATION NATIONALE DES LIGUES DE SPORT PROFESSIONNEL;ANLSP;;
CMV ASSOCIES;CMV ASSOCIES;;;
ENERGIES ET AVENIR;ENERGIES ET AVENIR;E&A;;
AGENCE FRANCE LOCALE SOCIETE TERRITORIALE;AGENCE FRANCE LOCALE SOCIETE TERRITORIALE;;;
ALLIANCE CONTRE LE DEVELOPPEMENT DES BACTERIES MUTI-RESISTANTES AUX ANTIBIOTIQUES;ALLIANCE CONTRE LE DEVELOPPEMENT DES BACTERIES MUTI-RESISTANTES AUX ANTIBIOTIQUES;;;
FRANCE TELEVISIONS;FRANCE TELEVISIONS;;;
CERTIVEA;CERTIVEA;;;
DELL;DELL;;;
GIE ALLIANCE GESTION;GIE ALLIANCE GESTION;;;
FRANCE GAZ RENOUVELABLES;FRANCE GAZ RENOUVELABLES;;;
